Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674385949,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674385950,1,,Aggregated,0.000000,0.000000,42,43,43,43,43,44,68,68,68,68,68,22,0,42,43.63636363636363,42,68,2.1363636363636362
1674385951,2,,Aggregated,0.000000,0.000000,42,42,43,43,43,43,44,68,68,68,68,69,0,42,42.11594202898551,2,68,2.0869565217391304
1674385952,3,,Aggregated,12.000000,0.000000,42,42,43,43,43,43,44,44,68,68,68,139,0,42,41.8705035971223,2,68,2.064748201438849
1674385953,4,,Aggregated,24.000000,0.000000,42,42,42,42,43,43,44,44,68,68,68,233,0,42,41.772532188841204,2,68,2.051502145922747
1674385954,5,,Aggregated,35.666667,0.000000,42,42,42,42,43,43,43,44,68,68,68,349,0,42,41.713467048710605,2,68,2.04297994269341
1674385955,6,,Aggregated,47.500000,0.000000,42,42,42,42,43,43,43,44,68,68,68,490,0,42,41.679591836734694,2,68,2.036734693877551
1674385956,7,,Aggregated,59.200000,0.000000,42,42,42,42,43,43,43,44,68,68,68,655,0,42,41.63053435114504,2,68,2.03206106870229
1674385957,8,,Aggregated,71.166667,0.000000,42,42,42,42,43,43,43,44,68,68,68,843,0,42,41.619217081850536,2,68,2.0284697508896796
1674385958,9,,Aggregated,83.000000,0.000000,42,42,42,42,43,43,43,44,45,68,68,1055,0,42,41.62274881516588,2,68,2.0255924170616115
1674385959,10,,Aggregated,94.875000,0.000000,42,42,42,42,43,43,43,44,45,68,68,1290,0,42,41.632558139534886,2,68,2.197674418604651
1674385960,11,,Aggregated,106.666667,0.000000,42,42,42,42,43,43,43,44,45,68,68,1549,0,42,41.63653970303422,2,68,2.3331181407359587
1674385961,12,,Aggregated,118.500000,0.000000,42,42,42,42,43,43,43,44,45,68,68,1831,0,42,41.64554888039323,2,68,2.4369197160021847
1674385962,13,,Aggregated,141.600000,0.000000,42,42,42,42,43,43,43,44,44,68,68,2137,0,42,41.62657931679925,2,68,2.5184838558727187
1674385963,14,,Aggregated,165.700000,0.000000,42,42,42,42,43,43,43,44,46,68,68,2470,0,42,41.640485829959516,2,68,2.5842105263157893
1674385964,15,,Aggregated,188.700000,0.000000,42,42,42,42,43,43,43,44,46,68,68,2818,0,42,41.65010645848119,2,68,2.6362668559261886
1674385965,16,,Aggregated,212.800000,0.000000,42,42,42,42,43,43,43,44,46,68,68,3200,0,42,41.6640625,2,68,2.6803125
1674385966,17,,Aggregated,235.800000,0.000000,42,42,42,42,43,43,43,44,54,68,68,3594,0,42,41.65720645520312,2,68,2.715915414579855
