Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674399114,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674399115,1,,Aggregated,0.000000,0.000000,43,43,44,44,45,45,69,69,69,69,69,21,0,43,44.666666666666664,43,69,5.9523809523809526
1674399116,2,,Aggregated,0.000000,0.000000,43,43,44,44,44,45,45,69,69,69,69,67,0,43,43.04477611940298,5,69,6.611940298507463
1674399117,3,,Aggregated,3.000000,0.000000,43,43,43,43,44,45,45,45,69,69,69,136,0,43,42.60294117647059,2,69,6.794117647058823
1674399118,4,,Aggregated,15.500000,0.000000,43,43,43,43,44,44,45,45,69,69,69,228,0,43,42.469298245614034,2,69,6.868421052631579
1674399119,5,,Aggregated,27.333333,0.000000,43,43,43,43,44,44,45,45,69,69,69,343,0,43,42.42565597667638,2,69,6.906705539358601
1674399120,6,,Aggregated,39.000000,0.000000,43,43,43,43,44,44,45,45,69,69,69,481,0,43,42.44074844074844,2,69,6.929313929313929
1674399121,7,,Aggregated,50.600000,0.000000,43,43,43,43,44,44,45,45,69,69,69,642,0,43,42.44859813084112,2,69,6.94392523364486
1674399122,8,,Aggregated,62.000000,0.000000,43,43,43,43,44,44,45,45,69,69,69,826,0,43,42.417675544794186,1,69,6.953995157384988
1674399123,9,,Aggregated,73.285714,0.000000,43,43,43,43,44,44,44,45,46,69,69,1034,0,43,42.42166344294004,1,69,6.961315280464216
1674399124,10,,Aggregated,84.875000,0.000000,43,43,43,43,44,44,45,45,49,69,69,1264,0,43,42.4501582278481,1,69,6.966772151898734
1674399125,11,,Aggregated,96.666667,0.000000,43,43,43,43,44,44,45,45,49,69,69,1517,0,43,42.462096242584046,1,69,6.970995385629532
1674399126,12,,Aggregated,108.200000,0.000000,43,43,43,43,44,44,45,45,49,69,69,1796,0,43,42.46269487750557,1,69,6.974387527839643
1674399127,13,,Aggregated,131.200000,0.000000,43,43,43,43,44,44,45,45,49,69,69,2094,0,43,42.48662846227316,1,69,6.977077363896848
1674399128,14,,Aggregated,154.200000,0.000000,43,43,43,43,44,44,45,45,49,69,69,2418,0,43,42.49172870140612,1,69,6.979321753515302
1674399129,15,,Aggregated,177.400000,0.000000,43,43,43,43,44,44,45,45,49,69,69,2767,0,43,42.46693169497651,1,69,6.981207083483918
