Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674613949,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674613951,1,,Aggregated,0.000000,0.000000,41,41,42,42,42,42,65,65,65,65,65,23,0,41,42.30434782608695,41,65,5.0
1674613952,1,,Aggregated,0.000000,0.000000,41,41,41,42,42,42,65,65,65,65,65,46,0,41,41.71739130434783,41,65,4.086956521739131
1674613953,1,,Aggregated,0.000000,0.000000,41,41,41,41,42,42,42,65,65,65,65,70,0,41,41.51428571428571,41,65,3.3714285714285714
1674613954,1,,Aggregated,23.000000,0.000000,41,41,41,41,42,42,42,65,65,65,65,94,0,41,41.41489361702128,41,65,3.021276595744681
1674613955,1,,Aggregated,23.000000,0.000000,41,41,41,41,42,42,42,42,65,65,65,118,0,41,41.38135593220339,41,65,2.8135593220338984
1674613956,1,,Aggregated,23.333333,0.000000,41,41,41,41,42,42,42,42,65,65,65,142,0,41,41.33098591549296,41,65,2.676056338028169
1674613957,1,,Aggregated,23.500000,0.000000,41,41,41,41,42,42,42,42,65,65,65,165,0,41,41.30909090909091,41,65,2.581818181818182
1674613958,1,,Aggregated,23.600000,0.000000,41,41,41,41,42,42,42,42,65,65,65,189,0,41,41.285714285714285,41,65,2.507936507936508
1674613959,1,,Aggregated,23.666667,0.000000,41,41,41,41,42,42,42,42,65,65,65,213,0,41,41.27699530516432,41,65,2.4507042253521125
1674613960,1,,Aggregated,23.625000,0.000000,41,41,41,41,42,42,42,42,65,65,65,237,0,41,41.28691983122363,41,65,2.4050632911392404
1674613961,1,,Aggregated,23.625000,0.000000,41,41,41,41,42,42,42,42,65,65,65,260,0,41,41.27307692307692,41,65,2.3692307692307693
1674613962,1,,Aggregated,23.666667,0.000000,41,41,41,41,42,42,42,42,65,65,65,284,0,41,41.264084507042256,41,65,2.3380281690140845
1674613963,1,,Aggregated,23.600000,0.000000,41,41,41,41,42,42,42,42,65,65,65,308,0,41,41.256493506493506,41,65,2.311688311688312
1674613964,1,,Aggregated,23.800000,0.000000,41,41,41,41,42,42,42,42,65,65,65,332,0,41,41.256024096385545,41,65,2.289156626506024
1674613965,1,,Aggregated,23.800000,0.000000,41,41,41,41,42,42,42,42,65,65,65,355,0,41,41.25070422535211,41,65,2.2704225352112677
1674613966,1,,Aggregated,23.800000,0.000000,41,41,41,41,42,42,42,42,65,65,65,379,0,41,41.245382585751976,41,65,2.253298153034301
1674613967,1,,Aggregated,23.700000,0.000000,41,41,41,41,42,42,42,42,65,65,65,403,0,41,41.25062034739454,41,65,2.238213399503722
1674613968,1,,Aggregated,23.700000,0.000000,41,41,41,41,42,42,42,42,65,65,65,427,0,41,41.241217798594846,41,65,2.2248243559718968
1674613969,1,,Aggregated,23.800000,0.000000,41,41,41,41,42,42,42,42,65,65,65,451,0,41,41.22838137472284,41,65,2.212860310421286
