Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674716288,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674716289,1,,Aggregated,0.000000,0.000000,150,150,160,160,220,220,220,220,220,220,220,6,0,150,162.66666666666666,150,216,5.0
1674716290,2,,Aggregated,0.000000,0.000000,220,220,220,220,220,260,260,260,260,260,260,14,0,200,191.14285714285714,150,259,5.0
1674716291,3,,Aggregated,3.000000,0.000000,220,220,260,320,360,400,430,430,430,430,430,24,0,220,233.125,150,432,5.0
1674716292,4,,Aggregated,5.500000,0.000000,220,320,330,360,440,540,600,600,600,600,600,33,0,220,277.3333333333333,150,599,5.0
1674716293,5,,Aggregated,7.000000,0.000000,320,330,430,440,540,600,790,790,790,790,790,42,0,260,322.9047619047619,150,793,5.0
1674716294,6,,Aggregated,7.500000,0.000000,320,430,540,540,600,760,790,860,860,860,860,51,0,320,364.3137254901961,150,863,5.0
1674716295,7,,Aggregated,7.800000,0.000000,330,540,540,600,690,790,860,1100,1100,1100,1100,61,0,330,415.0327868852459,150,1078,5.0
1674716296,8,,Aggregated,8.000000,0.000000,400,540,640,650,790,870,1100,1300,1300,1300,1300,70,0,360,450.51428571428573,150,1278,5.0
1674716297,9,,Aggregated,8.142857,0.000000,440,600,650,740,960,1100,1300,1400,1400,1400,1400,79,0,440,504.26582278481015,150,1449,5.0
1674716298,10,,Aggregated,8.375000,0.000000,540,640,740,850,1100,1300,1400,1700,1700,1700,1700,89,0,540,556.3595505617977,150,1735,5.0
1674716299,11,,Aggregated,8.444444,0.000000,540,650,760,860,1200,1400,1700,1800,1800,1800,1800,98,0,540,601.765306122449,150,1804,5.0
1674716300,12,,Aggregated,8.500000,0.000000,540,690,860,960,1400,1400,1700,1700,1800,1800,1800,107,0,540,647.6635514018692,150,1804,5.0
1674716301,13,,Aggregated,9.200000,0.000000,640,760,870,1100,1400,1700,1700,1800,1800,1800,1800,117,0,640,689.8888888888889,150,1821,5.0
1674716302,14,,Aggregated,9.300000,0.000000,640,790,960,1200,1400,1700,1800,2100,2300,2300,2300,126,0,640,731.9761904761905,150,2270,5.0
1674716303,15,,Aggregated,9.200000,0.000000,640,860,1200,1300,1600,1800,2100,2300,2400,2400,2400,135,0,640,796.1555555555556,150,2358,5.0
1674716304,16,,Aggregated,9.300000,0.000000,650,960,1300,1400,1700,1900,2200,2300,2400,2400,2400,145,0,650,847.9448275862069,150,2358,5.0
1674716305,17,,Aggregated,9.300000,0.000000,690,1000,1300,1400,1800,2000,2200,2400,2900,2900,2900,154,0,680,888.0909090909091,150,2898,5.0
1674716306,18,,Aggregated,9.300000,0.000000,750,1100,1400,1500,1800,2000,2200,2400,2900,2900,2900,163,0,750,922.7730061349694,150,2898,5.0
1674716307,19,,Aggregated,9.400000,0.000000,760,1300,1400,1500,1900,2100,2400,2900,3700,3700,3700,173,0,760,979.4393063583815,150,3717,5.0
1674716308,20,,Aggregated,9.300000,0.000000,850,1300,1500,1600,2000,2200,2500,2900,3700,3700,3700,182,0,850,1009.1978021978022,150,3717,5.0
1674716309,21,,Aggregated,9.300000,0.000000,860,1400,1500,1700,2100,2400,2900,4000,4500,4500,4500,192,0,860,1083.03125,150,4534,5.0
1674716310,22,,Aggregated,9.400000,0.000000,870,1400,1500,1700,2100,2400,2900,3700,4500,4500,4500,201,0,870,1103.910447761194,150,4534,5.0
1674716311,23,,Aggregated,9.300000,0.000000,960,1400,1600,1800,2200,2500,2900,3700,4500,4500,4500,210,0,960,1148.6666666666667,150,4534,5.0
1674716312,24,,Aggregated,9.300000,0.000000,1100,1400,1700,1800,2400,2800,3300,4000,5100,5100,5100,220,0,1100,1200.4454545454546,150,5099,5.0
1674716313,25,,Aggregated,9.400000,0.000000,1100,1500,1700,1900,2400,2800,3300,4000,5100,5100,5100,229,0,1100,1232.2183406113538,150,5099,5.0
1674716314,26,,Aggregated,9.300000,0.000000,1200,1500,1800,2000,2400,2800,3300,4000,5100,5100,5100,238,0,1100,1259.2058823529412,150,5099,5.0
1674716315,27,,Aggregated,9.400000,0.000000,1200,1500,1900,2000,2500,2900,3700,4500,7100,7100,7100,247,0,1200,1317.7004048582996,150,7112,5.0
1674716316,28,,Aggregated,9.400000,0.000000,1200,1600,1900,2100,2600,2900,3700,5100,7300,7300,7300,257,0,1200,1362.2684824902724,150,7298,5.0
1674716317,29,,Aggregated,9.300000,0.000000,1300,1700,2000,2100,2700,3100,3800,5100,7300,7300,7300,266,0,1300,1404.327067669173,150,7298,5.0
1674716318,30,,Aggregated,9.300000,0.000000,1300,1700,2000,2100,2700,3100,3800,5100,7300,7300,7300,275,0,1300,1412.3163636363636,150,7298,5.0
1674716319,31,,Aggregated,9.400000,0.000000,1300,1700,2000,2200,2800,3300,4100,7100,9300,9300,9300,285,0,1300,1494.298245614035,150,9300,5.0
1674716320,32,,Aggregated,9.300000,0.000000,1400,1700,2100,2300,2800,3300,4500,7300,9700,9700,9700,294,0,1400,1529.595238095238,150,9688,5.0
1674716321,33,,Aggregated,9.300000,0.000000,1400,1800,2100,2400,2900,3500,4100,7100,9700,9700,9700,303,0,1400,1566.7095709570958,150,9688,5.0
1674716322,34,,Aggregated,9.400000,0.000000,1400,1900,2100,2400,2900,3600,4500,7300,11000,11000,11000,313,0,1400,1615.0127795527158,150,10724,5.0
1674716323,35,,Aggregated,9.300000,0.000000,1400,1900,2200,2500,3000,3600,4500,7300,11000,11000,11000,322,0,1400,1642.8447204968943,150,10724,5.0
1674716324,36,,Aggregated,9.300000,0.000000,1400,2000,2300,2500,3000,3700,4500,7300,11000,11000,11000,332,0,1400,1675.5331325301204,150,10724,5.0
1674716325,37,,Aggregated,9.300000,0.000000,1400,2000,2300,2500,3000,3600,4500,7300,11000,11000,11000,341,0,1400,1675.8826979472142,150,10724,5.0
1674716326,38,,Aggregated,9.300000,0.000000,1500,2000,2400,2600,3200,3900,5100,9300,13000,13000,13000,350,0,1500,1747.5428571428572,150,13358,5.0
1674716327,39,,Aggregated,9.300000,0.000000,1500,2000,2400,2600,3300,4000,4500,9300,13000,13000,13000,359,0,1500,1768.7883008356546,150,13358,5.0
1674716328,40,,Aggregated,9.400000,0.000000,1500,2000,2500,2700,3300,4000,4500,9300,13000,13000,13000,369,0,1500,1790.6260162601627,150,13358,5.0
1674716329,41,,Aggregated,9.300000,0.000000,1500,2100,2500,2800,3400,4000,5100,9700,16000,16000,16000,378,0,1500,1860.7645502645503,150,15930,5.0
1674716330,42,,Aggregated,9.300000,0.000000,1500,2100,2500,2800,3400,4000,5100,9700,16000,16000,16000,387,0,1500,1871.4056847545219,150,15930,5.0
1674716331,43,,Aggregated,9.300000,0.000000,1600,2100,2600,2800,3500,4000,7100,11000,17000,17000,17000,396,0,1600,1927.5025252525252,150,16879,5.0
1674716332,44,,Aggregated,9.300000,0.000000,1700,2200,2600,2800,3500,4100,5100,9700,17000,17000,17000,406,0,1600,1966.7463054187192,150,16879,5.0
1674716333,45,,Aggregated,9.300000,0.000000,1700,2300,2700,2900,3500,4100,7100,11000,17000,17000,17000,415,0,1700,2009.631325301205,150,17071,5.0
1674716334,46,,Aggregated,9.300000,0.000000,1700,2300,2700,2900,3600,4100,7100,11000,17000,17000,17000,424,0,1700,2029.0754716981132,150,17071,5.0
1674716335,47,,Aggregated,9.200000,0.000000,1700,2400,2700,3000,3700,4200,7100,11000,17000,17000,17000,433,0,1700,2061.016166281755,150,17071,5.0
1674716336,48,,Aggregated,9.300000,0.000000,1700,2400,2800,3000,3700,4200,7300,13000,20000,20000,20000,443,0,1700,2106.7539503386006,150,19969,5.0
1674716337,49,,Aggregated,9.300000,0.000000,1800,2400,2800,3000,3800,4300,7100,13000,20000,20000,20000,452,0,1800,2131.170353982301,150,19969,5.0
1674716338,50,,Aggregated,9.200000,0.000000,1800,2500,2800,3100,3800,4300,7100,13000,20000,20000,20000,461,0,1800,2161.123644251627,150,19969,5.0
1674716339,51,,Aggregated,9.200000,0.000000,1900,2500,2800,3100,3800,4300,7100,13000,20000,20000,20000,470,0,1800,2166.2212765957447,150,19969,5.0
1674716340,52,,Aggregated,9.300000,0.000000,1900,2500,2800,3100,3800,4400,7300,16000,23000,23000,23000,479,0,1900,2224.0313152400836,150,22661,5.0
1674716341,53,,Aggregated,9.300000,0.000000,1900,2600,2900,3200,4000,4500,7300,16000,23000,23000,23000,489,0,1900,2265.756646216769,150,22661,5.0
