Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674725771,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674725772,1,,Aggregated,0.000000,0.000000,42,62,150,150,150,190,190,190,190,190,190,12,0,42,81.58333333333333,41,186,5.0
1674725773,2,,Aggregated,0.000000,0.000000,42,140,150,150,150,150,190,190,190,190,190,34,0,42,84.0,41,186,5.0
1674725774,3,,Aggregated,4.000000,0.000000,110,150,150,150,160,250,320,320,320,320,320,52,0,110,106.3076923076923,40,319,5.0
1674725775,4,,Aggregated,10.500000,0.000000,150,150,190,210,320,320,420,420,420,420,420,67,0,150,139.02985074626866,40,424,5.0
1674725776,5,,Aggregated,14.333333,0.000000,150,210,210,220,320,320,420,420,420,420,420,90,0,150,159.37777777777777,40,424,5.0
1674725777,6,,Aggregated,14.750000,0.000000,150,210,250,320,320,320,420,420,420,420,420,115,0,150,175.6,40,424,5.0
1674725778,7,,Aggregated,15.000000,0.000000,150,220,320,320,360,420,640,750,910,910,910,126,0,150,207.31746031746033,40,909,5.0
1674725779,8,,Aggregated,16.333333,0.000000,210,320,320,320,440,550,670,750,910,910,910,147,0,210,231.79591836734693,40,909,5.0
1674725780,9,,Aggregated,16.857143,0.000000,210,320,320,360,540,640,670,760,910,910,910,161,0,210,254.06832298136646,40,909,5.0
1674725781,10,,Aggregated,16.500000,0.000000,220,320,420,430,640,760,870,910,970,970,970,176,0,220,288.3693181818182,40,971,5.0
1674725782,11,,Aggregated,16.888889,0.000000,250,320,430,540,670,860,970,1000,1100,1100,1100,194,0,250,320.9329896907216,40,1073,5.0
1674725783,12,,Aggregated,16.600000,0.000000,320,420,440,540,670,860,970,1000,1100,1100,1100,221,0,320,338.9819004524887,40,1124,5.0
1674725784,13,,Aggregated,17.800000,0.000000,320,430,540,540,750,860,970,1000,1100,1100,1100,242,0,320,357.35537190082647,40,1124,5.0
1674725785,14,,Aggregated,18.000000,0.000000,320,430,540,640,760,870,1000,1100,1200,1200,1200,265,0,320,379.8452830188679,40,1171,5.0
1674725786,15,,Aggregated,18.600000,0.000000,320,440,540,640,760,870,1100,1100,1400,1400,1400,285,0,320,394.9894736842105,40,1353,5.0
1674725787,16,,Aggregated,18.900000,0.000000,330,530,640,650,860,970,1100,1200,1600,1600,1600,304,0,330,424.94736842105266,40,1594,5.0
1674725788,17,,Aggregated,19.800000,0.000000,420,540,640,740,860,970,1200,1200,1600,1600,1600,330,0,420,445.40909090909093,40,1594,5.0
1674725789,18,,Aggregated,19.200000,0.000000,430,540,650,750,860,1100,1200,1300,1600,1600,1600,346,0,430,459.6300578034682,40,1594,5.0
