Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674260670,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674260671,1,,Aggregated,0.000000,0.000000,41,41,41,41,41,42,71,71,71,71,71,23,0,41,42.34782608695652,41,71,5.0
1674260672,2,,Aggregated,0.000000,0.000000,41,41,41,41,42,42,42,71,71,71,71,70,0,41,41.01428571428571,2,71,5.0
1674260673,3,,Aggregated,17.000000,0.000000,41,41,41,41,42,42,42,43,71,71,71,142,0,41,40.774647887323944,1,71,5.0
1674260674,4,,Aggregated,29.500000,0.000000,41,41,41,41,42,42,42,42,71,71,71,238,0,41,40.78991596638655,1,71,5.0
1674260675,5,,Aggregated,41.333333,0.000000,41,41,41,41,42,42,42,42,71,71,71,358,0,41,40.78491620111732,1,71,5.0
1674260676,6,,Aggregated,53.500000,0.000000,41,41,41,41,42,42,42,42,71,71,71,502,0,41,40.7589641434263,1,71,5.0
1674260677,7,,Aggregated,65.600000,0.000000,41,41,41,41,42,42,42,42,71,71,71,670,0,41,40.77313432835821,1,71,5.0
1674260678,8,,Aggregated,77.666667,0.000000,41,41,41,41,42,42,42,42,71,71,71,867,0,41,40.73125720876586,1,71,5.0
1674260679,9,,Aggregated,89.714286,0.000000,41,41,41,41,42,42,42,42,43,71,71,1080,0,41,40.76851851851852,1,71,5.0
1674260680,10,,Aggregated,101.750000,0.000000,41,41,41,41,42,42,42,42,43,71,71,1323,0,41,40.78231292517007,1,71,5.0
1674260681,11,,Aggregated,113.777778,0.000000,41,41,41,41,42,42,42,42,43,71,71,1590,0,41,40.74465408805032,1,71,5.0
1674260682,12,,Aggregated,125.800000,0.000000,41,41,41,41,42,42,42,42,43,71,71,1879,0,41,40.74294837679617,1,71,5.0
1674260683,13,,Aggregated,150.700000,0.000000,41,41,41,41,42,42,42,42,43,71,71,2192,0,41,40.74863138686131,1,71,5.0
1674260684,14,,Aggregated,174.200000,0.000000,41,41,41,41,42,42,42,42,43,71,71,2529,0,41,40.712534598655594,0,71,5.0
1674260685,15,,Aggregated,197.700000,0.000000,41,41,41,41,42,42,42,42,43,71,71,2890,0,41,40.70242214532872,0,71,5.0
1674260686,16,,Aggregated,223.100000,0.000000,41,41,41,41,41,42,42,42,42,71,71,3274,0,41,40.701588271227855,0,71,5.0
1674260687,17,,Aggregated,247.100000,0.000000,41,41,41,41,41,42,42,42,42,71,71,3682,0,41,40.711841390548614,0,71,5.0
1674260688,18,,Aggregated,271.200000,0.000000,41,41,41,41,42,42,42,42,43,71,71,4117,0,41,40.737673062909884,0,71,5.0
1674260689,19,,Aggregated,295.200000,0.000000,41,41,41,41,41,42,42,42,43,71,71,4574,0,41,40.727372103191954,0,71,5.0
1674260690,20,,Aggregated,319.000000,0.000000,41,41,41,41,41,42,42,42,42,71,71,5054,0,41,40.72002374356945,0,71,5.0
1674260691,21,,Aggregated,343.100000,0.000000,41,41,41,41,41,42,42,42,42,71,71,5559,0,41,40.72584997301673,0,71,5.0
1674260692,22,,Aggregated,367.600000,0.000000,41,41,41,41,41,42,42,42,42,71,71,6086,0,41,40.72822872165626,0,71,5.0
1674260693,23,,Aggregated,390.800000,0.000000,41,41,41,41,41,42,42,42,42,71,71,6638,0,41,40.72326001807773,0,71,5.0
1674260694,24,,Aggregated,415.300000,0.000000,41,41,41,41,41,42,42,42,42,71,71,7219,0,41,40.71325668375121,0,71,5.0
1674260695,25,,Aggregated,439.900000,0.000000,41,41,41,41,41,42,42,42,42,71,71,7827,0,41,40.701034879264085,0,71,5.0
1674260696,26,,Aggregated,462.500000,0.000000,41,41,41,41,41,42,42,42,42,71,71,8464,0,41,40.69387996219282,0,71,5.0
1674260697,27,,Aggregated,486.500000,0.000000,41,41,41,41,41,42,42,42,42,71,71,9113,0,41,40.69164929221991,0,71,5.0
1674260698,28,,Aggregated,510.400000,0.000000,41,41,41,41,41,42,42,42,42,71,71,9786,0,41,40.69507459636215,0,71,5.0
1674260699,29,,Aggregated,534.400000,0.000000,41,41,41,41,41,42,42,42,43,56,71,10479,0,41,40.702166237236376,0,71,5.0
