Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674342692,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674342693,1,,Aggregated,0.000000,0.000000,41,41,42,42,42,42,68,68,68,68,68,23,0,41,42.391304347826086,41,68,5.956521739130435
1674342694,2,,Aggregated,0.000000,0.000000,41,41,41,41,42,42,42,68,68,68,68,70,0,41,40.98571428571429,2,68,5.9714285714285715
1674342695,3,,Aggregated,0.000000,0.000000,41,41,41,41,42,42,42,42,68,68,68,142,0,41,40.80281690140845,1,68,5.97887323943662
1674342696,4,,Aggregated,12.000000,0.000000,41,41,41,41,42,42,42,42,68,68,68,238,0,41,40.773109243697476,1,68,6.369747899159663
1674342697,5,,Aggregated,24.333333,0.000000,41,41,41,41,42,42,42,42,68,68,68,358,0,41,40.79608938547486,1,68,6.575418994413408
1674342698,6,,Aggregated,36.250000,0.000000,41,41,41,41,42,42,42,42,68,68,68,502,0,41,40.78087649402391,1,68,6.693227091633466
1674342699,7,,Aggregated,48.000000,0.000000,41,41,41,41,42,42,42,42,68,68,68,669,0,41,40.76831091180867,1,68,6.766816143497758
1674342700,8,,Aggregated,60.000000,0.000000,41,41,41,41,42,42,42,42,68,68,68,861,0,41,40.803716608594655,1,68,6.816492450638792
1674342701,9,,Aggregated,72.000000,0.000000,41,41,41,41,42,42,42,42,42,68,68,1077,0,41,40.823584029712165,1,68,6.851439182915506
1674342702,10,,Aggregated,84.125000,0.000000,41,41,41,41,42,42,42,42,42,68,68,1317,0,41,40.83371298405467,1,68,6.876993166287016
1674342703,11,,Aggregated,96.222222,0.000000,41,41,41,41,42,42,42,42,42,68,68,1581,0,41,40.828589500316255,1,68,6.896268184693232
1674342704,12,,Aggregated,108.300000,0.000000,41,41,41,41,42,42,42,42,42,68,68,1869,0,41,40.83948635634029,1,68,6.911182450508293
1674342705,13,,Aggregated,131.800000,0.000000,41,41,41,41,42,42,42,42,42,68,68,2177,0,41,40.836012861736336,1,68,6.922829581993569
1674342706,14,,Aggregated,156.500000,0.000000,41,41,41,41,42,42,42,42,42,68,68,2513,0,41,40.83286908077994,1,68,6.9323517707918825
1674342707,15,,Aggregated,180.500000,0.000000,41,41,41,41,42,42,42,42,43,68,68,2873,0,41,40.8381482770623,1,68,6.940132265924121
1674342708,16,,Aggregated,204.600000,0.000000,41,41,41,41,42,42,42,42,43,68,68,3257,0,41,40.82161498311329,1,68,6.946576604237028
1674342709,17,,Aggregated,228.700000,0.000000,41,41,41,41,42,42,42,42,43,68,68,3665,0,41,40.821828103683494,1,68,6.951978171896316
1674342710,18,,Aggregated,251.400000,0.000000,41,41,41,41,42,42,42,42,56,68,68,4097,0,41,40.879912130827435,1,68,6.9565535757871615
1674342712,19,,Aggregated,275.400000,0.000000,41,41,41,41,42,42,42,42,56,68,68,4553,0,41,40.878321985504066,1,68,6.960465627059082
1674342713,20,,Aggregated,299.200000,0.000000,41,41,41,41,42,42,42,42,55,68,68,5033,0,41,40.86191138485992,1,68,6.963838664812239
1674342714,21,,Aggregated,347.000000,0.000000,41,41,41,41,42,42,42,42,55,68,68,5539,0,41,40.850875609315764,1,68,6.966781007402058
1674342715,22,,Aggregated,347.000000,0.000000,41,41,41,41,42,42,42,42,55,68,68,6065,0,41,40.8517724649629,1,68,6.969332234130255
1674342716,23,,Aggregated,371.500000,0.000000,41,41,41,41,42,42,42,42,55,68,68,6617,0,41,40.849327489799,1,68,6.971588333081457
1674342717,24,,Aggregated,394.800000,0.000000,41,41,41,41,42,42,42,42,55,68,68,7193,0,41,40.841929653830114,1,68,6.973585430279439
1674342718,25,,Aggregated,442.600000,0.000000,41,41,41,41,42,42,42,42,55,68,68,7801,0,41,40.834764773746954,1,68,6.975387770798616
1674342719,26,,Aggregated,466.600000,0.000000,41,41,41,41,42,42,42,42,54,68,68,8426,0,41,40.831948730121056,1,68,6.976976026584381
1674342720,27,,Aggregated,491.900000,0.000000,41,41,41,41,42,42,42,42,54,68,68,9075,0,41,40.82887052341598,1,68,6.978402203856749
1674342721,28,,Aggregated,515.900000,0.000000,41,41,41,41,41,42,42,42,54,68,68,9748,0,41,40.826220763233486,1,68,6.97968814115716
1674342722,29,,Aggregated,540.000000,0.000000,41,41,41,41,41,42,42,42,54,58,68,10442,0,41,40.819670561195174,1,68,6.980846581114729
1674342723,30,,Aggregated,564.000000,0.000000,41,41,41,41,41,42,42,42,54,58,68,11157,0,41,40.827641839204084,1,68,6.98189477458098
1674342724,31,,Aggregated,588.000000,0.000000,41,41,41,41,41,42,42,42,54,58,68,11902,0,41,40.82129053940514,1,68,7.042849941186355
1674342725,32,,Aggregated,612.000000,0.000000,41,41,41,41,41,42,42,42,54,58,68,12679,0,41,40.81402318794858,1,68,7.101269816231564
1674342726,33,,Aggregated,636.200000,0.000000,41,41,41,41,41,42,42,42,53,58,68,13488,0,41,40.806717081850536,1,68,7.154952550415184
1674342727,34,,Aggregated,660.400000,0.000000,41,41,41,41,41,42,42,42,53,58,68,14307,0,41,40.80212483399735,1,68,7.20311735514084
1674342728,35,,Aggregated,684.400000,0.000000,41,41,41,41,41,42,42,42,53,58,68,15148,0,41,40.79819118035384,1,68,7.247161341431212
1674342729,36,,Aggregated,708.400000,0.000000,41,41,41,41,41,42,42,42,53,58,68,16017,0,41,40.79390647437098,1,68,7.287819192108385
1674342730,37,,Aggregated,732.400000,0.000000,41,41,41,41,41,42,42,42,53,58,68,16906,0,41,40.79255885484444,1,68,7.3250916834260025
1674342731,38,,Aggregated,756.400000,0.000000,41,41,41,41,41,42,42,42,53,58,68,17819,0,41,40.7888209214883,1,68,7.359503900331108
