Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674310721,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674310722,1,,Aggregated,0.000000,0.000000,40,40,40,40,41,41,43,43,43,43,43,42,0,40,22.30952380952381,0,43,5.0
1674310723,2,,Aggregated,0.000000,0.000000,1,40,40,40,41,41,42,43,43,43,43,197,0,1,14.446700507614214,0,43,5.0
1674310724,3,,Aggregated,17.000000,0.000000,1,1,40,40,41,41,42,42,43,43,43,433,0,1,13.039260969976905,0,43,5.0
1674310725,4,,Aggregated,41.500000,0.000000,1,1,40,40,41,41,42,42,43,43,43,806,0,1,11.687344913151366,0,43,5.0
1674310726,5,,Aggregated,102.000000,0.000000,1,1,40,40,41,41,42,42,43,45,45,1251,0,1,11.1982414068745,0,45,5.0
1674310727,6,,Aggregated,139.500000,0.000000,1,1,40,40,41,41,42,42,43,45,45,1690,0,1,11.680473372781066,0,45,5.0
1674310728,7,,Aggregated,195.600000,0.000000,1,1,40,40,41,41,42,42,43,45,45,2272,0,1,11.61531690140845,0,45,5.0
1674310729,8,,Aggregated,230.500000,0.000000,1,1,40,40,41,41,42,42,43,45,45,3070,0,1,11.035504885993486,0,45,5.0
1674310730,9,,Aggregated,268.142857,0.000000,1,1,40,40,41,41,42,42,43,45,45,3968,0,1,10.658770161290322,0,45,5.0
1674310731,10,,Aggregated,322.000000,0.000000,1,1,40,40,41,41,42,42,43,45,45,4772,0,1,10.851215423302598,0,45,5.0
1674310732,11,,Aggregated,381.000000,0.000000,1,1,40,40,41,41,42,42,43,45,45,5645,0,1,11.021257750221436,0,45,5.0
1674310733,12,,Aggregated,422.800000,0.000000,1,1,40,40,41,41,42,42,43,45,45,6622,0,1,11.105406221685291,0,45,5.0
1674310734,13,,Aggregated,507.500000,0.000000,1,2,40,40,41,41,42,42,43,45,45,7674,0,1,11.198983580922595,0,45,5.0
1674310735,14,,Aggregated,586.800000,0.000000,1,1,40,40,41,41,42,42,43,45,45,8964,0,1,11.058790718429274,0,45,5.0
1674310736,15,,Aggregated,666.900000,0.000000,1,2,40,40,41,41,42,42,43,44,45,10221,0,1,11.09098914000587,0,45,5.0
1674310737,16,,Aggregated,757.600000,0.000000,1,2,40,40,41,41,42,42,43,44,45,11690,0,1,10.98323353293413,0,45,5.0
1674310738,17,,Aggregated,841.500000,0.000000,1,2,40,40,41,41,42,42,43,44,45,13262,0,1,10.898356205700498,0,45,5.0
1674310739,18,,Aggregated,924.200000,0.000000,1,2,40,40,41,41,42,42,43,45,45,14734,0,1,10.960160173747795,0,45,5.0
1674310740,19,,Aggregated,1028.700000,0.000000,1,2,40,40,41,41,42,42,43,45,45,16405,0,1,10.926424870466322,0,45,5.0
1674310741,20,,Aggregated,1114.300000,0.000000,1,2,8,40,41,41,42,42,43,45,45,18153,0,1,10.90392772544483,0,45,5.0
1674310742,21,,Aggregated,1181.500000,0.000000,1,2,5,40,41,41,42,42,43,44,45,20025,0,1,10.871460674157303,0,45,5.0
1674310743,22,,Aggregated,1264.700000,0.000000,1,2,4,40,41,41,42,42,43,44,45,22052,0,1,10.801287865046254,0,45,5.0
1674310744,23,,Aggregated,1367.600000,0.000000,1,2,5,40,41,41,42,42,43,45,45,23892,0,1,10.881634019755566,0,45,5.0
1674310745,24,,Aggregated,1475.600000,0.000000,1,2,5,40,41,41,42,42,43,45,45,25841,0,1,10.933477806586433,0,45,5.0
1674310746,25,,Aggregated,1568.000000,0.000000,1,2,5,40,41,41,42,42,43,45,45,28006,0,1,10.920517032064557,0,45,5.0
1674310747,26,,Aggregated,1643.100000,0.000000,1,2,5,40,41,41,42,42,43,45,46,30247,0,1,10.908222303038318,0,46,5.0
1674310748,27,,Aggregated,1713.500000,0.000000,2,2,5,40,41,41,42,42,43,45,46,32596,0,2,10.890109215854705,0,46,5.0
1674310749,28,,Aggregated,1808.900000,0.000000,2,3,5,40,41,41,42,42,43,46,48,34899,0,2,10.921774262872862,0,48,5.0
1674310750,29,,Aggregated,1885.400000,0.000000,2,3,5,40,41,41,42,42,43,46,48,37255,0,2,10.942477519796,0,48,5.0
1674310751,30,,Aggregated,1960.600000,0.000000,2,3,5,40,41,41,42,42,43,46,48,39694,0,2,10.975159973799567,0,48,5.0
1674310752,31,,Aggregated,2033.900000,0.000000,2,3,5,40,41,42,42,42,43,46,48,42139,0,2,10.989463442416763,0,48,5.0
1674310753,32,,Aggregated,2119.600000,0.000000,2,3,5,40,41,42,42,42,43,47,1100,44587,0,2,11.080718595106196,0,1051,5.0
1674310754,33,,Aggregated,2176.700000,0.000000,2,3,5,40,41,42,42,42,44,47,1100,47084,0,2,11.136097188004417,0,1051,5.0
1674310755,34,,Aggregated,2219.600000,0.000000,2,3,6,40,41,42,42,42,44,47,1100,49572,0,2,11.189824901153877,0,1051,5.0
1674310756,35,,Aggregated,2274.700000,0.000000,2,3,6,40,41,42,42,42,44,47,1100,52213,0,2,11.259418152567369,0,1051,5.0
1674310757,36,,Aggregated,2329.400000,0.000000,2,4,6,40,41,42,42,43,44,47,1100,54806,0,2,11.326697806809474,0,1051,5.0
1674310758,37,,Aggregated,2387.200000,0.000000,2,4,6,40,41,42,42,43,44,47,1100,57465,0,2,11.39394413991125,0,1051,5.0
1674310759,38,,Aggregated,2430.000000,0.000000,2,4,6,40,41,42,42,43,44,47,1100,60080,0,2,11.4775965379494,0,1051,5.0
1674310760,39,,Aggregated,2461.300000,0.000000,2,4,7,40,41,42,42,43,44,47,1100,62786,0,2,11.550950848915363,0,1051,5.0
1674310761,40,,Aggregated,2493.500000,0.000000,3,4,7,40,41,42,42,43,44,47,1100,65496,0,3,11.627580310247954,0,1051,5.0
1674310762,41,,Aggregated,2533.400000,0.000000,3,4,7,40,41,42,42,43,44,59,1100,68236,0,3,11.700319479453661,0,1051,5.0
1674310763,42,,Aggregated,2552.000000,0.000000,3,4,7,40,41,42,42,43,44,59,1100,70959,0,3,11.796079426147493,0,1051,5.0
1674310764,43,,Aggregated,2581.700000,0.000000,3,5,8,40,41,42,43,43,45,59,1100,73506,0,3,11.916265338883901,0,1051,5.0
1674310765,44,,Aggregated,2615.400000,0.000000,3,5,8,41,41,42,43,43,45,59,1100,76264,0,3,12.00953267596769,0,1051,5.0
1674310766,45,,Aggregated,2634.300000,0.000000,3,5,9,41,41,42,43,43,45,59,1100,79015,0,3,12.100879579826616,0,1051,5.0
1674310767,46,,Aggregated,2650.000000,0.000000,3,5,9,41,41,42,43,43,45,59,1100,81796,0,3,12.19284561592254,0,1051,5.0
1674310768,47,,Aggregated,2666.700000,0.000000,3,5,9,41,41,42,43,43,45,59,1100,84574,0,3,12.256047958001277,0,1051,5.0
1674310769,48,,Aggregated,2679.700000,0.000000,3,5,10,41,42,42,43,43,45,1000,1100,87397,0,3,12.388148334611028,0,1068,5.0
1674310770,49,,Aggregated,2699.300000,0.000000,3,5,10,41,42,42,43,43,45,1000,1100,90065,0,3,12.39850108255149,0,1068,5.0
1674310771,50,,Aggregated,2716.100000,0.000000,4,6,10,41,42,42,43,44,46,1100,1100,92985,0,4,12.620487175350863,0,1073,5.0
1674310772,51,,Aggregated,2726.200000,0.000000,4,6,11,41,42,42,43,44,46,1100,1100,95843,0,4,12.719207453856828,0,1073,5.0
1674310773,52,,Aggregated,2732.500000,0.000000,4,6,11,41,42,42,43,44,46,1100,1100,98756,0,4,12.808973631981853,0,1073,5.0
1674310774,53,,Aggregated,2746.000000,0.000000,4,6,12,41,42,42,43,44,46,1100,1100,101699,0,4,12.903017728787894,0,1073,5.0
1674310775,54,,Aggregated,2761.800000,0.000000,4,7,12,41,42,42,43,44,46,1100,1100,104640,0,4,12.997486620795106,0,1073,5.0
1674310776,55,,Aggregated,2785.100000,0.000000,4,7,13,41,42,43,43,44,46,1100,1100,107597,0,4,13.090141918454975,0,1073,5.0
1674310777,56,,Aggregated,2818.800000,0.000000,4,7,40,41,42,43,43,44,46,1100,1100,110547,0,4,13.1894036020878,0,1073,5.0
1674310778,57,,Aggregated,2841.900000,0.000000,4,7,40,41,42,43,44,44,46,1100,1100,113480,0,4,13.29178709904829,0,1073,5.0
1674310779,58,,Aggregated,2862.600000,0.000000,4,7,40,41,42,43,44,44,46,1100,1100,116450,0,4,13.396659510519536,0,1073,5.0
1674310780,59,,Aggregated,2875.000000,0.000000,5,8,40,41,42,43,44,44,46,1100,1100,119450,0,5,13.496542486395981,0,1073,5.0
1674310781,60,,Aggregated,2887.900000,0.000000,5,8,40,41,42,43,44,44,46,1100,1100,122437,0,5,13.606083128466068,0,1073,5.0
1674310782,61,,Aggregated,2909.400000,0.000000,5,8,40,41,42,43,44,45,46,1100,1100,125427,0,5,13.71052484712223,0,1073,5.0
1674310783,62,,Aggregated,2934.300000,0.000000,5,8,40,41,42,43,44,45,47,1100,1100,128408,0,5,13.809505638277988,0,1073,5.0
1674310784,63,,Aggregated,2942.200000,0.000000,5,8,40,41,42,43,44,45,47,1100,1100,131423,0,5,13.919975955502462,0,1073,5.0
1674310785,64,,Aggregated,2958.700000,0.000000,5,9,40,41,42,43,44,45,47,1100,1100,134358,0,5,14.029012042453743,0,1073,5.0
1674310786,64,,Aggregated,2962.200000,0.000000,5,9,40,41,42,43,44,45,47,1100,1100,137297,0,5,14.126739841365799,0,1073,5.0
1674310787,64,,Aggregated,2964.500000,0.000000,5,9,40,41,42,43,44,45,47,1100,1100,140300,0,5,14.232630078403421,0,1073,5.0
1674310788,64,,Aggregated,2963.300000,0.000000,6,9,40,41,42,43,44,45,47,1100,1100,143272,0,6,14.327551789602992,0,1073,5.0
1674310789,64,,Aggregated,2961.600000,0.000000,6,10,40,41,42,43,44,45,47,1100,1100,146234,0,6,14.418821888206573,0,1073,5.0
1674310790,64,,Aggregated,2967.600000,0.000000,6,10,40,41,42,43,44,45,47,1100,1100,149140,0,6,14.478288856108355,0,1073,5.0
1674310791,64,,Aggregated,2970.200000,0.000000,6,10,40,41,42,43,45,45,48,1100,1100,151887,0,6,14.633115408165281,0,1073,5.0
1674310792,64,,Aggregated,2968.300000,0.000000,6,10,40,41,42,43,45,45,48,1100,1100,154862,0,6,14.710445428833413,0,1073,5.0
1674310793,64,,Aggregated,2957.300000,0.000000,6,10,40,41,42,43,45,45,48,1100,1100,157887,0,6,14.78359839632142,0,1073,5.0
1674310794,64,,Aggregated,2937.300000,0.000000,6,10,40,41,42,43,45,45,48,1100,1100,160874,0,6,14.853692952248343,0,1073,5.0
1674310795,64,,Aggregated,2931.600000,0.000000,6,10,40,41,42,43,45,46,48,1100,1100,163727,0,6,14.934415215572264,0,1073,5.0
1674310796,64,,Aggregated,2936.800000,0.000000,7,11,40,41,42,44,45,46,48,1100,1100,166700,0,7,15.00370125974805,0,1073,5.0
1674310797,64,,Aggregated,2935.400000,0.000000,7,11,40,41,42,44,45,46,48,1100,1100,169653,0,7,15.072925324043783,0,1073,5.0
1674310798,64,,Aggregated,2930.000000,0.000000,7,11,40,41,42,44,45,46,48,1100,1100,172643,0,7,15.135308121383433,0,1073,5.0
1674310799,64,,Aggregated,2934.800000,0.000000,7,11,40,41,43,44,45,46,48,1100,1100,175576,0,7,15.198142115095457,0,1073,5.0
1674310800,64,,Aggregated,2930.600000,0.000000,7,11,40,41,43,44,45,46,48,1100,1100,178421,0,7,15.264128101512714,0,1073,5.0
1674310801,64,,Aggregated,2931.300000,0.000000,7,11,40,41,43,44,45,46,49,1100,1100,181365,0,7,15.32309431257409,0,1073,5.0
1674310802,64,,Aggregated,2927.100000,0.000000,7,11,40,41,43,44,45,46,49,1100,1100,184359,0,7,15.408301194951155,0,1073,5.0
1674310803,64,,Aggregated,2924.000000,0.000000,7,11,40,41,43,44,45,46,49,1100,1100,187320,0,7,15.461797992739697,0,1073,5.0
1674310804,64,,Aggregated,2939.200000,0.000000,7,11,40,41,43,44,45,46,49,1100,1100,190276,0,7,15.51568773781244,0,1073,5.0
1674310805,64,,Aggregated,2940.200000,0.000000,8,11,40,41,43,44,45,46,49,1100,1100,193180,0,8,15.561134693032406,0,1073,5.0
1674310806,64,,Aggregated,2934.700000,0.000000,8,11,40,41,43,44,45,46,49,1100,1100,196051,0,8,15.640175260518946,0,1073,5.0
1674310807,64,,Aggregated,2933.900000,0.000000,8,11,40,41,43,44,45,46,49,1100,1100,198986,0,8,15.697290261626446,0,1073,5.0
1674310808,64,,Aggregated,2935.300000,0.000000,8,11,40,41,43,44,45,46,49,1100,1100,201812,0,8,15.750064416387529,0,1073,5.0
1674310809,64,,Aggregated,2915.500000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,204776,0,8,15.791098566238231,0,1073,5.0
1674310810,64,,Aggregated,2914.300000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,207721,0,8,15.83304047255694,0,1073,5.0
1674310811,64,,Aggregated,2900.800000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,210586,0,8,15.902942265867626,0,1073,5.0
1674310812,64,,Aggregated,2906.600000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,213563,0,8,15.941342835603546,0,1073,5.0
1674310813,64,,Aggregated,2912.400000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,216445,0,8,15.98491533645961,0,1073,5.0
1674310814,64,,Aggregated,2907.700000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,219374,0,8,16.02369469490459,0,1073,5.0
1674310815,64,,Aggregated,2904.900000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,222345,0,8,16.065326407160043,0,1073,5.0
1674310816,64,,Aggregated,2899.300000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,225216,0,8,16.107265913611823,0,1073,5.0
1674310817,64,,Aggregated,2895.100000,0.000000,8,12,40,41,43,44,45,46,49,1100,1100,228162,0,8,16.14359534015305,0,1073,5.0
1674310818,64,,Aggregated,2900.400000,0.000000,8,12,40,41,43,44,45,46,50,1100,1100,230882,0,8,16.19593125492676,0,1073,5.0
1674310819,64,,Aggregated,2910.600000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,233726,0,9,16.23775275322386,0,1073,5.0
1674310820,64,,Aggregated,2905.100000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,236718,0,9,16.27182977213393,0,1073,5.0
1674310821,64,,Aggregated,2891.600000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,239679,0,9,16.287592988956064,0,1073,5.0
1674310822,64,,Aggregated,2885.800000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,242646,0,9,16.340665001689704,0,1073,5.0
1674310823,64,,Aggregated,2891.900000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,245644,0,9,16.366115191089545,0,1073,5.0
1674310824,64,,Aggregated,2900.300000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,248556,0,9,16.396043547530535,0,1073,5.0
1674310825,64,,Aggregated,2900.200000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,251426,0,9,16.43025780945487,0,1073,5.0
1674310826,64,,Aggregated,2911.600000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,254410,0,9,16.45704964427499,0,1073,5.0
1674310827,64,,Aggregated,2910.000000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,257352,0,9,16.486069663340484,0,1073,5.0
1674310828,64,,Aggregated,2902.900000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,260314,0,9,16.514747574083607,0,1073,5.0
1674310829,64,,Aggregated,2907.200000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,263298,0,9,16.53955973839528,0,1073,5.0
1674310830,64,,Aggregated,2916.300000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,266200,0,9,16.56790007513148,0,1073,5.0
1674310831,64,,Aggregated,2942.300000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,269153,0,9,16.584563426749842,0,1073,5.0
1674310832,64,,Aggregated,2949.700000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,272016,0,9,16.6276910181754,0,1073,5.0
1674310833,64,,Aggregated,2942.400000,0.000000,9,12,41,41,43,44,45,46,50,1100,1100,274992,0,9,16.655975446558447,0,1073,5.0
1674310834,64,,Aggregated,2942.100000,0.000000,9,12,41,41,43,44,45,46,51,1100,1100,277897,0,9,16.679906584094105,0,1073,5.0
1674310835,64,,Aggregated,2927.100000,0.000000,9,13,41,41,43,44,45,46,50,1100,1100,280899,0,9,16.702451770921222,0,1073,5.0
1674310836,64,,Aggregated,2919.200000,0.000000,9,13,41,42,43,44,45,46,50,1100,1100,283835,0,9,16.725241777793435,0,1073,5.0
1674310837,64,,Aggregated,2925.300000,0.000000,9,13,41,42,43,44,45,46,50,1100,1100,286810,0,9,16.745828248666363,0,1073,5.0
1674310838,64,,Aggregated,2937.900000,0.000000,9,13,41,42,43,44,45,46,50,1100,1100,289828,0,9,16.767085995832012,0,1073,5.0
1674310839,64,,Aggregated,2938.500000,0.000000,9,13,41,42,43,44,45,46,50,1100,1100,292726,0,9,16.78962237724015,0,1073,5.0
1674310840,64,,Aggregated,2934.900000,0.000000,9,13,41,42,43,44,45,46,50,1100,1100,295725,0,9,16.808913686702173,0,1073,5.0
1674310841,64,,Aggregated,2938.900000,0.000000,9,13,41,42,43,44,45,46,50,1100,1100,298634,0,9,16.826707608644696,0,1073,5.0
1674310842,64,,Aggregated,2931.400000,0.000000,9,13,41,42,43,44,45,46,51,1100,1100,301580,0,9,16.85954970488759,0,1073,5.0
1674310843,64,,Aggregated,2938.800000,0.000000,9,13,41,42,43,44,46,46,50,1100,1100,304548,0,9,16.877694156586156,0,1073,5.0
1674310844,64,,Aggregated,2934.000000,0.000000,10,13,41,42,43,44,46,46,50,1100,1100,307464,0,10,16.897653058569457,0,1073,5.0
1674310845,64,,Aggregated,2947.100000,0.000000,10,13,41,42,43,44,46,46,50,1100,1100,310401,0,10,16.905116285063514,0,1073,5.0
1674310846,64,,Aggregated,2950.400000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,313211,0,10,16.947054860780753,0,1073,5.0
1674310847,64,,Aggregated,2945.800000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,316176,0,10,16.965500227721268,0,1073,5.0
1674310848,64,,Aggregated,2939.800000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,319146,0,10,16.977236123905673,0,1073,5.0
1674310849,64,,Aggregated,2927.400000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,322133,0,10,17.001046151744777,0,1073,5.0
1674310850,64,,Aggregated,2928.800000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,325187,0,10,17.01562485585217,0,1073,5.0
1674310851,64,,Aggregated,2925.500000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,328112,0,10,17.02888952552787,0,1073,5.0
1674310852,64,,Aggregated,2932.100000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,330899,0,10,17.042804602008466,0,1073,5.0
1674310853,64,,Aggregated,2939.000000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,333876,0,10,17.08197055194144,0,1073,5.0
1674310854,64,,Aggregated,2940.000000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,336919,0,10,17.097940454530615,0,1073,5.0
1674310855,64,,Aggregated,2924.400000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,339920,0,10,17.10518357260532,0,1073,5.0
1674310856,64,,Aggregated,2925.300000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,342926,0,10,17.128937438397788,0,1073,5.0
1674310857,64,,Aggregated,2939.100000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,345935,0,10,17.141483226617716,0,1073,5.0
1674310858,64,,Aggregated,2945.000000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,348822,0,10,17.159459552436488,0,1073,5.0
1674310859,64,,Aggregated,2962.300000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,351751,0,10,17.174054942274505,0,1073,5.0
1674310860,64,,Aggregated,2966.600000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,354663,0,10,17.18644741627968,0,1073,5.0
1674310861,64,,Aggregated,2959.700000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,357570,0,10,17.20484940011746,0,1073,5.0
1674310862,64,,Aggregated,2953.100000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,360462,0,10,17.221357591091433,0,1073,5.0
1674310863,64,,Aggregated,2941.300000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,363446,0,10,17.240074178832618,0,1073,5.0
1674310864,64,,Aggregated,2939.200000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,366489,0,10,17.249319897732263,0,1073,5.0
1674310865,64,,Aggregated,2949.900000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,369409,0,10,17.26418684980604,0,1073,5.0
1674310866,64,,Aggregated,2950.800000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,372460,0,10,17.272660151425658,0,1073,5.0
1674310867,64,,Aggregated,2948.600000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,375499,0,10,17.281058005480705,0,1073,5.0
1674310868,64,,Aggregated,2941.200000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,378570,0,10,17.28885278812373,0,1073,5.0
1674310870,64,,Aggregated,2946.700000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,381599,0,10,17.29918579451204,0,1073,5.0
1674310871,64,,Aggregated,2967.600000,0.000000,10,13,41,42,43,44,46,46,51,1100,1100,384617,0,10,17.308569304008923,0,1073,5.0
