Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674245624,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674245625,1,,Aggregated,0.000000,0.000000,42,42,42,42,43,44,93,93,93,93,93,22,0,42,44.31818181818182,41,93,5.0
1674245626,2,,Aggregated,0.000000,0.000000,42,42,42,42,43,43,44,93,93,93,93,69,0,42,41.91304347826087,2,93,5.0
1674245627,3,,Aggregated,5.000000,0.000000,42,42,42,42,42,43,43,44,93,93,93,141,0,42,41.40425531914894,2,93,5.0
1674245628,4,,Aggregated,17.500000,0.000000,41,42,42,42,42,42,43,43,93,93,93,236,0,41,41.16949152542373,1,93,5.0
1674245629,5,,Aggregated,29.666667,0.000000,41,42,42,42,42,42,43,43,93,93,93,356,0,41,41.08988764044944,1,93,5.0
1674245630,6,,Aggregated,41.500000,0.000000,41,42,42,42,42,42,43,43,93,93,93,498,0,41,41.05421686746988,1,93,5.0
1674245631,7,,Aggregated,53.800000,0.000000,41,41,42,42,42,42,42,43,93,93,93,666,0,41,41.05855855855856,1,93,5.0
1674245632,8,,Aggregated,65.833333,0.000000,41,41,42,42,42,42,42,43,93,93,93,858,0,41,41.03379953379953,1,93,5.0
1674245633,9,,Aggregated,77.714286,0.000000,41,41,42,42,42,42,42,43,44,93,93,1073,0,41,41.044734389561974,1,93,5.0
1674245634,10,,Aggregated,89.500000,0.000000,41,41,42,42,42,42,42,43,44,93,93,1313,0,41,41.07311500380807,1,93,5.0
1674245635,11,,Aggregated,101.555556,0.000000,41,41,42,42,42,42,42,43,44,93,93,1575,0,41,41.095238095238095,1,93,5.0
1674245636,12,,Aggregated,113.700000,0.000000,41,41,42,42,42,42,42,43,44,93,93,1859,0,41,41.09090909090909,1,93,5.0
1674245637,13,,Aggregated,137.500000,0.000000,41,41,42,42,42,42,42,42,44,93,93,2171,0,41,41.069092584062645,1,93,5.0
1674245638,14,,Aggregated,161.600000,0.000000,41,41,42,42,42,42,42,42,44,93,93,2507,0,41,41.044674910251295,1,93,5.0
1674245639,15,,Aggregated,185.400000,0.000000,41,41,42,42,42,42,42,43,55,93,93,2867,0,41,41.089989536100454,1,93,5.0
1674245640,16,,Aggregated,209.000000,0.000000,41,41,42,42,42,42,42,43,55,93,93,3251,0,41,41.09289449400185,1,93,5.0
1674245641,17,,Aggregated,232.900000,0.000000,41,41,42,42,42,42,42,43,55,93,93,3649,0,41,41.09180597423952,1,93,5.0
1674245642,18,,Aggregated,257.000000,0.000000,41,41,42,42,42,42,42,42,54,93,93,4081,0,41,41.079147267826514,1,93,5.0
1674245643,19,,Aggregated,281.200000,0.000000,41,41,42,42,42,42,42,43,54,93,93,4537,0,41,41.070090368084635,1,93,5.0
1674245644,20,,Aggregated,304.900000,0.000000,41,41,41,42,42,42,42,42,54,93,93,5013,0,41,41.035906642728904,1,93,5.0
1674245645,21,,Aggregated,328.100000,0.000000,41,41,41,42,42,42,42,42,54,93,93,5517,0,41,41.03226391154613,1,93,5.0
1674245646,22,,Aggregated,352.000000,0.000000,41,41,41,42,42,42,42,42,54,93,93,6045,0,41,41.01488833746898,1,93,5.0
1674245647,23,,Aggregated,375.900000,0.000000,41,41,41,42,42,42,42,42,54,93,93,6597,0,41,41.00363801728058,1,93,5.0
1674245648,24,,Aggregated,399.800000,0.000000,41,41,41,41,42,42,42,42,54,93,93,7173,0,41,40.989683535480275,1,93,5.0
1674245649,25,,Aggregated,424.000000,0.000000,41,41,41,41,42,42,42,42,54,93,93,7773,0,41,40.97517046185514,1,93,5.0
1674245650,26,,Aggregated,448.500000,0.000000,41,41,41,41,42,42,42,42,54,93,93,8397,0,41,40.96772656901274,1,93,5.0
1674245651,27,,Aggregated,472.500000,0.000000,41,41,41,41,42,42,42,42,53,93,93,9045,0,41,40.96440022111664,1,93,5.0
1674245652,28,,Aggregated,496.400000,0.000000,41,41,41,41,42,42,42,42,53,93,93,9717,0,41,40.95636513327159,1,93,5.0
1674245653,29,,Aggregated,520.300000,0.000000,41,41,41,41,42,42,42,42,52,56,93,10413,0,41,40.949390185345244,1,93,5.0
1674245654,30,,Aggregated,544.800000,0.000000,41,41,41,41,42,42,42,42,53,56,93,11133,0,41,40.947273870475165,1,93,5.0
1674245655,31,,Aggregated,569.600000,0.000000,41,41,41,41,42,42,42,42,53,56,93,11877,0,41,40.933905868485304,1,93,5.0
1674245656,32,,Aggregated,593.400000,0.000000,41,41,41,41,42,42,42,42,52,56,93,12645,0,41,40.931119019375245,1,93,5.0
1674245657,33,,Aggregated,618.000000,0.000000,41,41,41,41,42,42,42,42,52,56,93,13437,0,41,40.9254297834338,1,93,5.0
1674245658,34,,Aggregated,642.000000,0.000000,41,41,41,41,42,42,42,42,52,56,93,14253,0,41,40.918332982529996,1,93,5.0
1674245659,35,,Aggregated,666.000000,0.000000,41,41,41,41,42,42,42,42,52,56,93,15099,0,41,40.896152063050536,1,93,5.0
1674245660,36,,Aggregated,690.000000,0.000000,41,41,41,41,42,42,42,42,52,56,93,15963,0,41,40.88748982020923,1,93,5.0
1674245661,37,,Aggregated,714.000000,0.000000,41,41,41,41,42,42,42,42,51,56,93,16853,0,41,40.88281018216341,1,93,5.0
1674245662,38,,Aggregated,738.000000,0.000000,41,41,41,41,42,42,42,42,51,56,93,17758,0,41,40.88101137515486,1,93,5.0
1674245663,39,,Aggregated,762.000000,0.000000,41,41,41,41,42,42,42,42,51,56,93,18693,0,41,40.88343230086129,1,93,5.0
1674245664,40,,Aggregated,786.000000,0.000000,41,41,41,41,42,42,42,42,51,56,93,19658,0,41,40.87409705972123,1,93,5.0
1674245665,41,,Aggregated,810.000000,0.000000,41,41,41,41,42,42,42,42,50,55,93,20639,0,41,40.87126314259412,1,93,5.0
1674245666,42,,Aggregated,834.200000,0.000000,41,41,41,41,42,42,42,42,48,55,93,21659,0,41,40.86546008587654,1,93,5.0
1674245667,43,,Aggregated,858.000000,0.000000,41,41,41,41,42,42,42,42,48,55,93,22709,0,41,40.851556651547845,1,93,5.0
1674245668,44,,Aggregated,882.000000,0.000000,41,41,41,41,42,42,42,42,48,55,93,23777,0,41,40.842368675610885,1,93,5.0
1674245669,45,,Aggregated,906.000000,0.000000,41,41,41,41,42,42,42,42,47,55,93,24858,0,41,40.83240807788237,1,93,5.0
1674245670,46,,Aggregated,930.000000,0.000000,41,41,41,41,42,42,42,42,44,55,93,25963,0,41,40.82282478912298,1,93,5.0
1674245671,47,,Aggregated,954.000000,0.000000,41,41,41,41,41,42,42,42,44,55,93,27092,0,41,40.811420345489445,1,93,5.0
1674245672,48,,Aggregated,978.400000,0.000000,41,41,41,41,41,42,42,42,44,55,93,28260,0,41,40.80106157112527,1,93,5.0
1674245673,49,,Aggregated,1004.200000,0.000000,41,41,41,41,41,42,42,42,43,55,93,29458,0,41,40.79166949555299,1,93,5.0
1674245674,50,,Aggregated,1030.200000,0.000000,41,41,41,41,41,42,42,42,44,55,93,30666,0,41,40.785430118046044,1,93,5.0
1674245675,51,,Aggregated,1054.600000,0.000000,41,41,41,41,41,42,42,42,44,55,93,31895,0,41,40.778429220881016,1,93,5.0
1674245676,52,,Aggregated,1078.700000,0.000000,41,41,41,41,41,42,42,42,43,55,93,33144,0,41,40.771361332367846,1,93,5.0
1674245677,53,,Aggregated,1102.700000,0.000000,41,41,41,41,41,42,42,42,43,55,93,34421,0,41,40.76540484006856,1,93,5.0
1674245678,54,,Aggregated,1127.300000,0.000000,41,41,41,41,41,42,42,42,43,55,93,35722,0,41,40.76227534852472,1,93,5.0
1674245679,55,,Aggregated,1153.000000,0.000000,41,41,41,41,41,42,42,42,43,55,93,37053,0,41,40.76177367554584,1,93,5.0
1674245680,56,,Aggregated,1178.700000,0.000000,41,41,41,41,41,42,42,42,43,55,93,38405,0,41,40.76148938940242,1,93,5.0
1674245681,57,,Aggregated,1203.700000,0.000000,41,41,41,41,41,42,42,42,43,55,93,39780,0,41,40.760708898944195,1,93,5.0
1674245682,58,,Aggregated,1227.500000,0.000000,41,41,41,41,41,42,42,42,43,54,93,41177,0,41,40.76095878767273,1,93,5.0
1674245683,59,,Aggregated,1249.700000,0.000000,41,41,41,41,41,42,42,42,43,54,93,42592,0,41,40.76126972201352,1,93,5.0
1674245684,60,,Aggregated,1271.700000,0.000000,41,41,41,41,41,42,42,42,43,54,93,44038,0,41,40.76082020073573,1,93,5.0
