Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674158460,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674158461,1,,Aggregated,0.000000,0.000000,42,42,42,42,43,44,86,86,86,86,86,22,0,42,44.04545454545455,41,86,5.0
1674158462,2,,Aggregated,0.000000,0.000000,42,42,42,42,42,43,44,86,86,86,86,69,0,42,41.95652173913044,2,86,5.0
1674158463,3,,Aggregated,15.000000,0.000000,42,42,42,42,42,43,43,44,86,86,86,140,0,42,41.5,2,86,5.0
1674158464,4,,Aggregated,27.500000,0.000000,42,42,42,42,42,42,43,43,86,86,86,236,0,42,41.26271186440678,1,86,5.0
1674158465,5,,Aggregated,39.666667,0.000000,41,42,42,42,42,42,43,43,86,86,86,354,0,41,41.12994350282486,1,86,5.0
1674158466,6,,Aggregated,52.000000,0.000000,41,42,42,42,42,42,43,43,86,86,86,498,0,41,41.092369477911646,1,86,5.0
1674158467,7,,Aggregated,63.800000,0.000000,41,42,42,42,42,42,42,43,86,86,86,665,0,41,41.08270676691729,1,86,5.0
1674158468,8,,Aggregated,76.000000,0.000000,41,42,42,42,42,42,42,43,86,86,86,856,0,41,41.07710280373832,1,86,5.0
1674158469,9,,Aggregated,87.857143,0.000000,41,41,42,42,42,42,42,43,44,86,86,1072,0,41,41.08022388059702,1,86,5.0
1674158470,10,,Aggregated,100.000000,0.000000,41,41,42,42,42,42,42,43,44,86,86,1312,0,41,41.09298780487805,1,86,5.0
1674158471,11,,Aggregated,112.111111,0.000000,41,41,42,42,42,42,42,43,44,86,86,1572,0,41,41.0763358778626,1,86,5.0
1674158472,12,,Aggregated,123.800000,0.000000,41,41,42,42,42,42,42,43,44,86,86,1865,0,41,41.0514745308311,1,86,5.0
1674158473,13,,Aggregated,147.900000,0.000000,41,41,42,42,42,42,42,42,43,86,86,2171,0,41,41.05158912943344,1,86,5.0
1674158474,14,,Aggregated,171.700000,0.000000,41,41,42,42,42,42,42,43,44,86,86,2504,0,41,41.04952076677316,1,86,5.0
1674158475,15,,Aggregated,195.800000,0.000000,41,41,42,42,42,42,42,43,44,86,86,2864,0,41,41.049930167597765,1,86,5.0
1674158476,16,,Aggregated,219.600000,0.000000,41,41,42,42,42,42,42,43,44,86,86,3246,0,41,41.04128157732594,1,86,5.0
1674158477,17,,Aggregated,243.800000,0.000000,41,41,41,42,42,42,42,42,44,86,86,3658,0,41,41.01257517769273,1,86,5.0
1674158478,18,,Aggregated,267.700000,0.000000,41,41,41,42,42,42,42,42,44,86,86,4085,0,41,41.01444308445532,1,86,5.0
1674158479,19,,Aggregated,291.900000,0.000000,41,41,41,42,42,42,42,42,44,86,86,4541,0,41,41.000660647434486,1,86,5.0
1674158480,20,,Aggregated,315.900000,0.000000,41,41,41,42,42,42,42,42,44,86,86,5021,0,41,40.98705437163912,1,86,5.0
1674158481,21,,Aggregated,339.900000,0.000000,41,41,41,42,42,42,42,42,44,86,86,5525,0,41,40.979004524886875,1,86,5.0
1674158482,22,,Aggregated,364.300000,0.000000,41,41,41,41,42,42,42,42,44,86,86,6053,0,41,40.96695853295886,1,86,5.0
1674158483,23,,Aggregated,388.400000,0.000000,41,41,41,41,42,42,42,42,44,86,86,6605,0,41,40.95806207418622,1,86,5.0
1674158484,24,,Aggregated,412.700000,0.000000,41,41,41,41,42,42,42,42,44,86,86,7181,0,41,40.95794457596435,1,86,5.0
1674158485,25,,Aggregated,436.700000,0.000000,41,41,41,41,42,42,42,42,44,86,86,7781,0,41,40.95617529880478,1,86,5.0
1674158486,26,,Aggregated,460.000000,0.000000,41,41,41,41,42,42,42,42,43,86,86,8405,0,41,40.95490779298037,1,86,5.0
1674158487,27,,Aggregated,482.700000,0.000000,41,41,41,41,42,42,42,42,43,86,86,9053,0,41,40.95437976361427,1,86,5.0
1674158488,28,,Aggregated,506.800000,0.000000,41,41,41,41,42,42,42,42,43,86,86,9727,0,41,40.95342860080189,1,86,5.0
1674158489,29,,Aggregated,530.600000,0.000000,41,41,41,41,42,42,42,42,55,57,86,10401,0,41,40.98000192289203,1,86,5.0
1674158490,30,,Aggregated,554.600000,0.000000,41,41,41,41,42,42,42,42,55,57,86,11118,0,41,40.977783774060086,1,86,5.0
1674158491,31,,Aggregated,578.600000,0.000000,41,41,41,41,42,42,42,42,55,57,86,11861,0,41,40.96720343984487,1,86,5.0
1674158492,32,,Aggregated,600.800000,0.000000,41,41,41,41,42,42,42,42,54,57,86,12629,0,41,40.959062475255365,1,86,5.0
1674158493,33,,Aggregated,624.900000,0.000000,41,41,41,41,42,42,42,42,54,57,86,13421,0,41,40.95253706877282,1,86,5.0
1674158494,34,,Aggregated,649.200000,0.000000,41,41,41,41,42,42,42,42,54,57,86,14237,0,41,40.94844419470394,1,86,5.0
1674158495,35,,Aggregated,672.500000,0.000000,41,41,41,41,42,42,42,42,54,57,86,15077,0,41,40.94183192942893,1,86,5.0
1674158496,36,,Aggregated,696.700000,0.000000,41,41,41,41,42,42,42,42,54,57,86,15941,0,41,40.942412646634466,1,86,5.0
1674158497,37,,Aggregated,721.600000,0.000000,41,41,41,41,42,42,42,42,53,57,86,16829,0,41,40.943015033573,1,86,5.0
1674158498,38,,Aggregated,745.300000,0.000000,41,41,41,41,42,42,42,42,52,57,86,17741,0,41,40.944027957837775,1,86,5.0
1674158499,39,,Aggregated,769.500000,0.000000,41,41,41,41,42,42,42,42,52,57,86,18677,0,41,40.94008673769877,1,86,5.0
1674158500,40,,Aggregated,793.200000,0.000000,41,41,41,41,42,42,42,42,52,57,86,19637,0,41,40.938636247899375,1,86,5.0
1674158501,41,,Aggregated,817.100000,0.000000,41,41,41,41,42,42,42,42,52,56,86,20621,0,41,40.93530866592309,1,86,5.0
1674158502,42,,Aggregated,842.800000,0.000000,41,41,41,41,42,42,42,42,52,56,86,21630,0,41,40.93153028201572,1,86,5.0
1674158503,43,,Aggregated,866.600000,0.000000,41,41,41,41,42,42,42,42,52,56,86,22665,0,41,40.928082947275534,1,86,5.0
1674158504,44,,Aggregated,890.200000,0.000000,41,41,41,41,42,42,42,42,51,56,86,23712,0,41,40.92982456140351,1,86,5.0
1674158505,45,,Aggregated,915.000000,0.000000,41,41,41,41,42,42,42,42,51,56,86,24774,0,41,40.93024945507387,1,86,5.0
